词语,全拼音,同形,兼类,备注
啊,a1,A,,"表示惊异或赞叹:~,太阳出来了!"
啊,a2,B,,表示追问:~?你去开会?
啊,a3,C,,表示惊疑:~?东西怎么不见了呀?
啊,a4,D,,"表示应诺;明白;惊异;赞叹:~,北大校园真美!"
哎,ai1,,,"表示惊讶或不满意:~,你怎么能这么说呢!/表示提醒:~,我倒有个办法"
哎呀,ai1ya1,,,"~,这花儿长得这么好看呀!"
唉,ai4,,,"表示伤感或惋惜:~,好好的杯子打碎了两个!"
呃,e4,,,"表示感叹、提醒等:~,你还没走呀!"
嘿,hei1,,,"~,小李!/~,下雪了!"
噢,o1,,,"表示了解:~,原来是他!"
哦,o2,A,,"表示将信将疑:~,他今天也要来?"
哦,o4,B,,"表示领会,醒悟:~,我想起来了!"
呀,ya1,,o,"~,下雨了!"
