词语,全拼音,后名,状语,后地动,补语,谓语,兼类,备注
空荡荡,kong1dang4dang4,,,否,可,可,,这里变得~的
拉拉杂杂,la1la1za2za2,,可,,可,,,"说得~,大家抓不住重点/~说了点个人看法"
蜡黄,la4huang2,,,否,可,可,,脸色~
懒洋洋,lan3yang1yang1,,,,可,可,,晒得~/他~地站起来
烂乎乎,lan4hu1hu1,,,否,可,可,,煮得~的
烂熟,lan4shu2,,,否,可,,,这篇文章他背得~
老老实实,lao3lao5shi1shi1,,可,,可,可,,这个孩子被你管得~
乐滋滋,le4zi1zi1,,,,,可,,孩子~的
泪汪汪,lei4wang1wang1,,,,,可,,他两眼~
冷冰冰,leng3bing1bing1,,,,,可,,这个人~的/他~地说几句
冷溲溲,leng3sou1sou1,,,否,,可,,外面~的
凉丝丝,liang2si1si1,,,否,,可,,露水有点~的
凉苏苏,liang2su1su1,,,否,,可,,
亮晶晶,liang4jing1jing1,,,否,可,可,,天上的星星~/玻璃擦得~的
零零星星,ling2ling2xing1xing1,,可,,,可,,作业~地交来了几本
溜光,liu1guang1,,,否,可,可,,头发梳得~/~的石子儿
绿莹莹,lv4ying1ying1,,,否,,可,,小草在雨中显得~的
绿油油,lv4you1you1,,,否,可,可,,麦苗长得~的
乱哄哄,luan4hong1hong1,,,,可,可,,搅得~/~地嚷成一片
乱糟糟,luan4zao1zao1,,,否,可,可,,桌子上~的
麻酥酥,ma2su1su1,,,,可,可,,"脚在水里,冻得~的"
马马虎虎,ma3ma5hu1hu1,,可,,可,可,,作业~
满满当当,man3man5dang1dang1,,可,,可,可,,"过往的车辆,都~地载着粮食"
慢慢吞吞,man4man5tun1tun1,,,,可,可,,走得~的
慢慢悠悠,man4man5you1you1,,,,可,可,,他~地说
慢吞吞,man4tun1tun1,,,,可,可,,他的动作~的/他~地走进来
忙忙碌碌,mang2mang2lu4lu4,,可,,,可,,~干了一天
毛茸茸,mao2rong1rong1,,,否,可,可,,小白兔长得~的
毛手毛脚,mao2shou3mao2jiao3,,,,,可,,这个小伙子干事~的
美滋滋,mei3zi1zi1,,,,,可,,小李~的/小王~地吃起来
密密麻麻,mi4mi5ma2ma2,,可,,可,可,,"~写了一张纸/象牙雕上~地刻着许多小字/一大群蝗虫,~的"
勉勉强强,mian3mian5qiang1qiang1,,可,,,,,领导~地答应了/我能~对付
明晃晃,ming2huang1huang1,,,否,可,可,,这把刀磨得~的
模模糊糊,mo2mo5hu1hu1,,可,,可,可,,字迹~/~听到几句话
