词语,全拼音,子类,后名,后的名,后数量名,后量名,主宾,补语,状语,谓语,不,没,数,人称,排除,性,指代人,指代事物,指代时间,指代处所,指代方位,指代数量,指代行为,指代性状,指代程度,对应疑问,对应指示,兼类,备注
什么,shen2me5,疑,,否,,,,,,,,可,,,,,,物,,,,,,,,,这个,,这是~/~地方
什么样,shen2me5yang4,疑,否,,可,,,可,,,,,,,,,,,,,,,,形,,,"这样,那样",,长得~
谁,shui2,疑,否,,,,,,,,,,兼,,,,人,,,,,,,,,,,,~一个人敢去?/~书包丢了?
他,ta1,人,,,可,,,,,,,,单,三,,男,人,,,,,,,,,,,,~哥哥
他们,ta1men5,人,,,可,,,,,,,,复,三,,,人,,,,,,,,,,,,~个人
他人,ta1ren2,人,否,,,,,,,,,,兼,三,,,人,,,,,,,,,,,,"""后名""粘着/""后数量名""也粘着"
它,ta1,,否,,可,,,,,,,,单,三,,,,物,,,,,,,,,,,这杯牛奶你喝了~!
它们,ta1men5,,否,,可,,,,,,,,复,三,,,,物,,,,,,,,,,,"这些桌子都坏了,你把~修理一下"
她,ta1,人,,,可,,,,,,,,单,三,,女,人,,,,,,,,,,,,~一个人
她们,ta1men5,人,,,可,,,,,,,,复,三,,女,人,,,,,,,,,,,,~几个人形影不离
为何,wei4he2,疑,否,否,,,否,,可,可,,,,,,,,,,,,,动,,,,,,你~还不走?
为什么,wei4shen2me5,疑,否,否,,,,,可,可,可,,,,,,,,,,,,动,,,,,,不知道~/~来中国学汉语?
我,wo3,人,,,可,,,,,,,,单,一,,,人,,,,,,,,,,,,"""~名""粘着"
我们,wo3men5,人,,,可,,,,,,,,复,一,,,人,,,,,,,,,,,,~个人
一切,yi1qie4,指,,否,,,,,,,,,,,,,,物,,,,,,,,,,,人民的利益高于~
有的,you3de5,指,,否,,,,,,,,,,,,,人,物,,,,,,,,,,,"不做宾语/~回家去了,~看电影去了/~长,~短"
有些,you3xie1,指,,否,,,,,,,,,,,,,人,物,,,,,,,,,,,"不做宾语/~是外地人/我的书~是旧的,~是新的"
咱,zan2,人,,,可,,,,,,,,兼,一,否,,人,,,,,,,,,,,,你叫~一声/~家
咱们,zan2men5,人,,,可,,,,,,,,复,一,否,,人,,,,,,,,,,,,~学校/~三班同学
怎,zen3,疑,否,否,,,否,,可,,,,,,,,,,,,,,动,,,,"这么,那么",,他~知道?
怎么,zen3me5,疑,否,否,可,可,否,,可,可,可,可,,,,,,,,,,,动,,,,"那么,这么",,他~一个人在家/~说/他~啦
怎么办,zen3me5ban4,疑,否,否,,,,,,可,,,,,,,,,,,,,动,,,,,,我们~?
怎么样,zen3me5yang4,疑,否,,,,,可,可,可,可,可,,,,,,,,,,,动,形,,,"那样,那么样,这样,这么样",,他是~一个人?/完成得~了/他~了
怎样,zen3yang4,疑,否,,,,,可,可,可,可,可,,,,,,,,,,,动,形,副,,"这样,这么样,那样,那么样",,这个人~?
咋,za3,疑,否,否,可,,否,,可,可,,,,,,,,,,,,,动,形,,,"这样,那样",,~两个人?/你~啦
这,zhe4,指,,否,可,可,,,,,,,,,,,人,物,,,,,动,,,哪,,,"""~是谁?""""我弟""/""~是什么?""""蛇""/""你会跳水吗?""""~我会""/~头牛真健壮"
这边,zhe4bian1,指,否,,可,,,,,,,,,,,,,,,处,方,,,,,哪边,,,"~三人,那边五人"
这儿,zher4,指,否,,可,,,,,,,,,,,,,,,处,,,,,,哪儿,,,~房子多
这个,zhe4ge5,指,,否,,,,,,,,,,,,,人,物,,,,,,,,哪个,,,"""哪个是你弟弟?""""~"""
这会儿,zhe4huir4,指,否,,,,,,可,,,,,,,,,,时,,,,,,,哪会儿,,,~雪下得更大了/~走了
这里,zhe4li3,指,,,可,,,,,,,,,,,,,,,处,,,,,,哪里,,,~气候温和
这么,zhe4me5,指,否,否,可,可,否,,可,,可,可,,,,,,,,,,,,,副,怎么,,,他没~坏/管得不~死
这么点儿,zhe4me5dianr3,指,,,,,,,,,,,,,,,,物,,,,,,,,哪些,,,"~的事儿,一个人能完成"
这么些,zhe4me5xie1,指,,否,,,,,,,,可,,,,,,,,,,数,,,,多少,,,"""今天人来得多吗?""""~,坐都坐不下了""/""今天有一百人吗?""""没~"""
这么样,zhe4me5yang4,指,否,,可,,,可,可,可,可,可,,,,,,,,,,,动,形,副,怎么样,,,"没~说/衣服特短,~没法穿/他们~,我们没法与他们合作/打扮得~"
这时,zhe4shi2,指,否,,,,,,,,,,,,,,,,时,,,,,,,"哪时,何时",,,~飞机起飞了
这些,zhe4xie1,指,,否,,,,,,,,可,,,,,,物,,,,,,,,哪些,,,"~你全拿走/""你有两百元吗?""""没~,只有一百元"""
这样,zhe4yang4,指,否,,可,,,可,可,可,可,可,,,,,,,,,,,动,形,副,"怎样,哪样",,,"衣服颜色这么花哨,~怎么穿?/变得~"
之,zhi1,指,否,否,,,,,,,,,,,,,人,物,,,,,,,,,,u,"不做主语,限于做宾语/求~不得/取而代~/全部歼灭~"
诸位,zhu1wei4,人,,,,,,,,,,,复,,,,人,,,,,,,,,,,,~朋友/~的家属
自,zi4,人,否,否,,,,,,,,,单,,,,人,,,,,,,,,,,dp,做宾语时须主宾同形/自顾~/~当努力
自个儿,zi4ger3,人,,,可,,,,,,,,单,,,,人,,,,,,,,,,,,小孩~装了一台收音机
自各儿,zi4ger3,人,,,可,,,,,,,,单,,,,人,,,,,,,,,,,,你~去
自己,zi4ji3,人,,,可,,,,,,,,兼,,,,人,,,,,,,,,,,,老李~一个人在家
自家,zi4jia1,人,,,可,,,,,,,,单,,,,人,,,,,,,,,,,,~人
自身,zi4shen1,人,,,,,,,,,,,单,,,,人,,,,,,,,,,,,"~条件/~难保/~的事儿,怎能让别人去做呢"
自我,zi4wo3,人,,否,,,,,可,,,,单,,,,人,,,,,,,,,,,,不做主语/勇于否定~/~形象/~服务
