词语,全拼音,同形,数名,数量名,个体量词,度量词,容器量词,集体量词,种类量词,成形量词,不定量词,前接,后接,状语,重叠,临量,处所,兼类,备注
阿富汗,a1fu4han4,,,否,,,,,,,,,,,,,可,,
阿妹,a1mei4,,,否,,,,,,,,,,,,,,,
阿司匹林,a1si1pi1lin2,,,,片,,"瓶,包,盒",,,,"些,点",,,,,,,,~药片
哀思,ai1si1,,,,,,,,,片,,,,,,,,,"数词限于""一"""
癌,ai2,,,,,,,,种,,,,,,,,,,
爱称,ai4cheng1,,,,个,,,,种,,些,,,,,,,,
爱情,ai4qing2,,,否,,,,,,,,,,,,,,,
爱人,ai4ren5,,,否,,,,,,,,,,,,,,,
爱因斯坦,ai4yin1si1tan3,,,否,,,,,,,,,,,,,,,
爱滋病,ai4zi1bing4,,,否,,,,,,,,,,,,,,,
安眠药,an1mian2yao4,,,,片,,"瓶,袋,包",,种,,"些,点",,,,,,,,
安全岛,an1quan2dao3,,,,个,,,,,,些,,,,,,,,
氨,an1,,,,,"升,吨",瓶,,,,"些,点",,,,,,,,
鹌鹑,an1chun2,,,,只,,,"群,窝",种,,些,,,,,,,,
案犯,an4fan4,,,,个,,,"群,伙",,,些,,们,,,,,,贪污~
案件,an4jian4,,,,"个,桩",,,,种,,些,,,,,,,,抢劫~/刑事~
暗号,an4hao4,,,,个,,,,种,,些,,,,,,,,
暗礁,an4jiao1,,,,"个,处",,,,,"片,块",些,,,,,,,,
暗锁,an4suo3,,,,"个,把",,,,种,,些,,,,,,,,
暗语,an4yu3,,,,句,,,,种,段,些,,,,,,,,
傲气,ao4qi4,,,,,,,,种,股,"些,点",,,,,,,a,
八宝菜,ba1bao3cai4,,,,,"斤,克,公斤,吨,千克","包,盒,瓶,袋",批,种,,"些,点",,,,,,,,镇江~
八哥,ba1ge5,,,,"个,只",,,对,,,些,,儿,,,,,,
八音盒,ba1yin1he2,,,,个,,,,种,,些,,,,,,,,
巴黎,ba1li2,,,否,,,,,,,,,,,,,可,,
巴掌,ba1zhang5,,数,,个,,,,,,,,,,,,,,打了一~
芭蕾舞,ba1lei3wu3,,,,,,,组,,段,,,,,,,,,
疤痕,ba1hen2,,,,"个,条",,,,,"道,片",些,,,,,,,,
把柄,ba3bing3,,,,个,,,,,,些,,,,,,,,
把戏,ba3xi4,,,,"个,出",,,套,,,些,,,,,,,,
爸爸,ba4ba5,,,,个,,,,,,,,们,,,,,,"他有两个~,一个是生父一个是养父/你~"
罢免权,ba4mian3quan2,,,否,,,,,,,,,,,,,,,
霸权,ba4quan2,,,否,,,,,,,,,,,,,,,~主义
白菜,bai2cai4,,,,棵,"吨,千克,克,斤,亩,公斤","筐,盘,碗",批,种,"堆,片","些,点",,,,,,,,
白炽灯,bai2chi4deng1,,,,个,,,,,,些,,,,,,,,
白果,bai2guo3,,,,,"斤,公斤,千克,克","盒,袋",,,堆,"些,点",,,,,,,,
白话文,bai2hua4wen2,,,,篇,,,,,段,些,,,,,,,,
白酒,bai2jiu3,,,,,"斤,吨,千克,两","瓶,杯",,种,滴,"些,点",,,,,,,,
白开水,bai2kai1shui3,,,,,,"杯,桶,碗",,,,"些,点",,,,,,,,
白兰花,bai2lan2hua1,,,,"朵,棵,株",,篮,,,"束,串",些,,,,,,,,
白鲢,bai2lian2,,,,条,"斤,吨,千克,公斤","车,筐",,,,些,,,,,,,,
白面儿,bai2mianr4,,,,,"克,公斤,千克","包,袋,箱",,,,"些,点",,,,,,,,指毒品海洛因
白皮松,bai2pi2song1,,,,"棵,株",,,,,排,些,,,,,,,,
白日梦,bai2ri4meng4,,,否,,,,,,,,,,,,,,,
白薯,bai2shu3,,,,个,"吨,斤,千克","车,筐",,种,"堆,块","些,点",,,,,,,,植物根茎
白糖,bai2tang2,,,,,"斤,吨,千克,克","瓶,罐",,种,撮,"些,点",,,,,,,,
白杨,bai2yang2,,,,"棵,株",,,,,"排,片",些,,,,,,,,
白云,bai2yun2,,,,,,,,,片,"些,点",,,,,,,,
白纸,bai2zhi3,,,,"张,页",吨,车,,,"叠,摞,沓","些,点",,,,,,,,
白字,bai2zi4,,,,个,,,,,,些,,,,,,,,
百分号,bai3fen1hao2,,,,个,,,,,,,,,,,,,,
百合,bai3he2,1,,,"棵,株","亩,公顷",,,,"片,排","些,点",,,,,,,,植物:~花
百合,bai3he2,2,,,,"斤,公斤,克,千克",袋,,,,"些,点",,,,,,,,这种植物的鳞茎
百灵,bai3ling2,,,,只,,,"群,对",,,些,,,,,,,,
百姓,bai3xing4,,,,,,,,,,些,,,,,,,,
百褶裙,bai3zhe3qun2,,,,条,,,,种,,些,,,,,,,,
柏油,bai3you2,,,,,吨,桶,,,,"些,点",,,,,,,,
摆设,bai3she5,,,,件,,,套,种,,些,,,,,,,,
败类,bai4lei4,,,,个,,,群,,,些,,,,,,,,
扳手,ban1shou5,,,,"个,把",,,套,种,,些,,,,,,,,
班,ban1,,数,,个,,,,,,些,,"子,长",,,是,,q,培训~/一~学生/三~纪律最好
班级,ban1ji2,,,,个,,,,,,些,,,,,,,,做主语、宾语必加定语
班组,ban1zu3,,,,个,,,,,,些,,长,,,,,,
斑马,ban1ma3,,,,"匹,个",,,"群,对",,,些,,,,,,,,
板凳,ban3deng4,,,,"张,个",,,,种,排,些,,,,,,,,
板栗,ban3li4,1,,,"棵,株","亩,公顷",,,种,"片,排",些,,,,,,,,植物
板栗,ban3li4,2,,,颗,"吨,斤,千克","袋,筐",,,"把,堆","些,点",,,,,,,,果实
板鸭,ban3ya1,,,,只,"斤,吨,千克","盘,碗",,,块,"些,点",,,,,,,,南京~
版画,ban3hua4,,,,"幅,张",,,,种,,些,,,,,,,,
版权,ban3quan2,,,否,,,,,,,,,,,,,,,
办法,ban4fa3,,,,个,,,套,种,,"些,点",,,,,,,,
办公室,ban4gong1shi4,,,,"个,间",,,,,,些,,,,,,可,,信访~
半成品,ban4cheng2pin3,,,,"个,件","吨,克,千克,公斤,斤","箱,盒,车",批,种,堆,"些,点",,,,,,,,
半导体,ban4dao3ti3,,,,,,,,种,,些,,,,,,,,硅~
半岛,ban4dao3,,,,个,,,,,,些,,,,,,,,
半径,ban4jing4,,,,条,,,,,,,,,,,,,,
伴侣,ban4lv3,,,,"个,名",,,对,,,,,,,,,,,
帮派,bang1pai4,,,,个,,,,,,些,,,,,,,,
帮手,bang1shou5,,,,个,,,"群,伙,帮",,,些,,,,,,,,
榜样,bang3yang4,,,,个,,,,种,,些,,,,,,,,学习~
棒球,bang4qiu2,,,,"只,个",,,,,,些,,,,,,,,打了一场~
磅秤,bang4cheng4,,,,台,,,,种,,些,,,,,,,,
包,bao1,,,,个,,,,种,,些,,子,,,,,vq,布~
包袱,bao1fu5,,,,个,,,,种,块,些,,,,,,,,~皮儿/思想~
包裹,bao1guo3,,,,个,,车,,种,堆,些,,,,,,,v,
包厢,bao1xiang1,,,,"间,个",,,,,,些,,,,,,,,
包装,bao1zhuang1,,,,,,,,种,,些,,,,,,,v,产品~/~价格
包子,bao1zi5,,,,个,"斤,两,克,千克","盘,袋",,种,,"些,点",,,,,,,,
宝贝,bao3bei4,,,,"件,个",,"盒,箱",群,种,,些,,儿,,,,,,
宝石,bao3shi2,,,,"粒,颗,枚",克拉,盒,,种,块,些,,,,,,,,
保镖,bao3biao1,,,,"个,位,名",,,群,,,些,,们,,,,,,
保管员,bao3guan3yuan2,,,,"个,位,名",,,群,种,,些,,们,,,,,,
保健操,bao3jian4cao1,,,,节,,,套,种,,些,,,,,,,,
保姆,bao3mu3,,,,"个,位,名",,,群,,,些,,们,,,,,,
保险柜,bao3xian3gui4,,,,"个,只",,,,种,,些,,,,,,,,
保障,bao3zhang4,,,,,,,,种,,些,,,,,,,v,
堡垒,bao3lei3,,,,"个,座",,,,,,,,,,,,,,战斗~
报表,bao4biao3,,,,"本,张",,,份,"种,类","叠,摞,沓",些,,,,,,,,
报酬,bao4chou5,,数,,,元,,"份,笔",种,,"些,点",,,,,,,,劳动~/他得到50万~
报告,bao4gao4,,,,"个,篇",,,份,,叠,些,,,,,,,v,研究~
报刊,bao4kan1,,,,,,,份,"种,类",摞,些,,,,,,,,
报社,bao4she4,,,,家,,,,,,些,,,,,,可,,
报纸,bao4zhi3,,,,张,,,份,种,"叠,摞",些,,,,,,,,
抱负,bao4fu4,,,否,,,,,,,,,,,,,,,
暴力,bao4li4,,,否,,,,,,,,,,,,,,,
杯子,bei1zi5,,,,"只,个",,,套,种,,些,,,,,,,,喝水~
悲剧,bei1ju4,,,,"出,个",,,,,段,些,,,,,,,,
碑,bei1,,,,"个,块",,,,,,些,,,,,,,,纪念~
北京,bei3jing1,,,,,,,,,,,,,,,,可,,
北美洲,bei3mei3zhou1,,,否,,,,,,,,,,,,,可,,
贝壳,bei4ke2,,,,"个,只",,"盒,袋",,种,"堆,把",些,,,,,,,,
备忘录,bei4wang4lu4,,,,"个,本,项",,,份,,,些,,,,,,,,
备注,bei4zhu4,,,,"条,页",,,,,段,些,,,,,,,,
背包,bei4bao1,,,,个,,,,种,,些,,,,,,,,
背景,bei4jing3,,,,个,,,,种,,"些,点",,,,,,,,历史~
背心,bei4xin1,,,,件,,,,种,,些,,,,,,,,
背影,bei4ying3,,,,个,,,,,,,,,,,,,,
被告,bei4gao4,,,,"个,名",,,,,,些,,,,,,,,
被套,bei4tao4,,,,"个,床",,,,,,些,,,,,,,,
被子,bei4zi5,,,,"条,床",,,,种,,些,,,,,,,,
蓓蕾,bei4lei3,,,,"朵,个",,,,,串,些,,,,,,,,
本家,ben3jia1,,,,"个,位",,,,,,些,,们,,,,,,
本金,ben3jin1,,数,,,元,,笔,,,"些,点",,,,,,,,
本科,ben3ke1,,,否,,,,,,,,,,,,,,,
本末,ben3mo4,,,否,,,,,,,,,,,,,,,
本事,ben3shi5,,,,,,,套,种,,"些,点",,,,,,,,本领:谋生~/他有~
本质,ben3zhi4,,,否,,,,,,,,,,,,,,,看~/~特征
本子,ben3zi5,,,,个,,,,种,,些,,,,,,,,
绷带,beng1dai4,,,,"条,根",米,,,,卷,些,,,,,,,,
鼻梁,bi2liang2,,,否,,,,,,,,,"儿,子",,,,,,
鼻子,bi2zi5,,,否,,,,,,,,,,,,,,,
匕首,bi3shou3,,,,"把,个",,,批,种,,些,,,,,,,,
比例,bi3li4,,,,,,,,种,,,,,,,,,,
比赛,bi3sai4,,,,项,,,,种,,些,,,,,,,v,"观看~/今天有~/一场(盘,局……)~"
比喻,bi3yu4,,,,个,,,,,,些,,,,,,,v,
比重,bi3zhong4,,,否,,,,,,,,,,,,,,,测~
笔,bi3,,,,"支,管",,盒,,"种,类",把,些,,,,,,,q,动~
笔法,bi3fa3,,,,,,,,种,,,,,,,,,,
笔画,bi3hua4,,,否,,,,,,,,,,,,,,,
笔记,bi3ji4,,,,"本,篇,页",,,,,"段,堆","些,点",,,,,,,v,"老人口述,请人~下来,整理成文"
笔记本,bi3ji4ben3,,,,"个,本",,,,种,"摞,叠",些,,,,,,,,
笔名,bi3ming2,,,,个,,,,,,些,,,,,,,,
笔试,bi3shi4,,,否,,,,,,,,,,,,,,,采用~
笔误,bi3wu4,,,,处,,,,,,些,,,,,,,,
笔者,bi3zhe3,,,否,,,,,,,,,,,,,,,
币制,bi4zhi4,,,,,,,,种,,,,,,,,,,
必要性,bi4yao4xing4,,,否,,,,,,,,,,,,,,,
闭门羹,bi4men2geng1,,,否,,,,,,,,,,,,,,,吃了一回~
蓖麻,bi4ma2,,,,"棵,株","亩,公顷",,,,片,些,,,,,,,,植物
弊病,bi4bing4,,,,,,,,种,,些,,,,,,,,
壁灯,bi4deng1,,,,盏,,,组,种,排,些,,,,,,,,
壁画,bi4hua4,,,,幅,,,组,种,,些,,,,,,,,
壁纸,bi4zhi3,,,,张,,,,种,卷,些,,,,,,,,
避风港,bi4feng1gang3,,,,"个,处",,,,,,,,,,,,,,
边界,bian1jie4,,,,条,,,,,段,,,,,,,,,
边缘,bian1yuan2,,,否,,,,,,,,,,,,,,b,崩溃~
编辑,bian1ji2,,,,"个,位",,,群,,,些,,们,,,,,v,
编者案,bian1zhe3an4,,,,"篇,则",,,,,段,些,,,,,,,,
编制,bian1zhi4,,,,,,,,种,,,,,,,,,v,人员~/~施工方案(v)
蝙蝠,bian1fu2,,,,只,,,群,种,,些,,,,,,,,
鞭炮,bian1pao4,,,,个,,盒,,种,"串,挂",些,,,,,,,,
扁豆,bian3dou4,1,,,"棵,株","亩,公顷",,,,片,"些,点",,,,,,,,植物
扁豆,bian3dou4,2,,,,"斤,公斤,克,千克","筐,盘",,,堆,"些,点",,,,,,,,果实
便饭,bian4fan4,,,否,,,,,,,,,,,,,,,"可与""顿""搭配:一顿~"
便笺,bian4jian1,,,,"张,本",,,,,叠,些,,,,,,,,
便条,bian4tiao2,,,,"张,个",,,,,"沓,摞",些,,,,,,,,
便宜货,pian2yi5huo4,,,,件,,包,,,堆,些,,,,,,,,
变量,bian4liang4,,,,个,,,,种,,些,,,,,,,,时间~
变压器,bian4ya1qi4,,,,"个,台",,,,种,,些,,,,,,,,降压~/可调~
辩护人,bian4hu4ren2,,,,"个,位,名",,,,,,些,,,,,,,,
辩证法,bian4zheng4fa3,,,,,,,,,,点,,,,,,,,
标本,biao1ben3,,,,"个,件",,"盒,箱",套,种,,些,,,,,,,,
标兵,biao1bing1,,,,"个,位,名",,,群,,,些,,们,,,,,,
标点,biao1dian3,,,,个,,,,种,,些,,,,,,,v,
标记,biao1ji4,,,,"个,处",,,,种,块,些,,,,,,,,
标签,biao1qian1,,,,"个,张",,,套,种,"沓,摞",些,,,,,,,,
标题,biao1ti2,,,,个,,,组,种,,些,,,,,,,,
标语,biao1yu3,,,,"条,幅,张",,,,种,,些,,,,,,,,革命~
标准,biao1zhun3,,,,"个,条,项",,,,"种,类",,些,"非,超",,,,,,a,判断~
表,biao3,1,,,"块,只",,,批,"种,类",,些,,,,,,,,手表:玩具~
表,biao3,2,,,"张,个",,,份,"种,类","摞,堆",些,,,,,,,,表格:报名~/计划~/工资~
表格,biao3ge2,,,,"张,个",,,份,"种,类",堆,些,,,,,,,,
表面,biao3mian4,,,否,,,,,,,,,,,,,,,~文章/地球~
表现,biao3xian4,,,,,,,,种,,些,,,,,,,v,
别墅,bie2shu4,,,,"个,座,处",,,"批,套",,,些,,,,,,可,,
别字,bie2zi4,,,,个,,,,,,些,,,,,,,,
宾馆,bin1guan3,,,,"个,座,家",,,,,,些,,,,,,可,,"目前用""星级""标志~等级,五星级最好"
宾客,bin1ke4,,,,"个,位,名",,,群,,,些,,们,,,,,,
槟榔,bing1lang2,1,,,"棵,株","亩,公顷",,,,"片,排",些,,,,,,,,植物
槟榔,bing1lang2,2,,,个,"斤,公斤,吨,千克","筐,车,袋",,,堆,"些,点",,,,,,,,果实
冰,bing1,,,,,吨,车,,,"块,层","些,点",,,,,,,v,~灯/人造~/~一~这杯水(v)
冰雕,bing1diao1,,,,"座,个,件",,,,,,些,,,,,,,,
冰棍,bing1gun4,,,,"支,个,根",,盒,,种,,些,,儿,,,,,,北京~/小豆~
冰淇淋,bing1qi2lin2,,,,,,"杯,盒,袋",,种,块,"些,点",,,,,,,,
冰球,bing1qiu2,,,,个,,,,,,些,,,,,,,,
冰霜,bing1shuang1,,,否,,,,,,,,,,,,,,,
冰箱,bing1xiang1,,,,"个,台",,,批,"种,类",,些,,,,,,,,进口~
冰雪,bing1xue3,,,,,,,,,片,,,,,,,,,~世界
兵,bing1,,,,个,,,群,种,,些,,,,,,,,水~/空降~/工程~/~器/~书
兵力,bing1li4,,数,否,,,,,,,,,,,,,,,
兵权,bing1quan2,,,,,,,,,,点,,,,,,,,他现在一点儿~也没有了
兵种,bing1zhong3,,,,个,,,,,,些,,,,,,,,
饼干,bing3gan1,,,,,斤,"箱,盒,包",,种,"块,片","些,点",,,,,,,,
禀性,bing3xing4,,,否,,,,,,,,,,,,,,,本性:这人~很好
病毒,bing4du2,,,,,,,,种,,些,,,,,,,,
病房,bing4fang2,,,,"个,间",平方米,,,种,排,些,,,,,,可,,
病历,bing4li4,,,,"张,页,本",,包,份,,摞,些,,,,,,,,
病人,bing4ren2,,,,"个,位,名",,,群,,,些,,们,,,,,,
病因,bing4yin1,,,,,,,,种,,些,,,,,,,,
病症,bing4zheng4,,,,,,,,种,,些,,,,,,,,
波浪,bo1lang4,,,否,,,,,,,,,,,,,,,
波涛,bo1tao1,,,,,,,,,片,,,,,,,,,万顷~/一片~
玻璃,bo1li5,,,,,平方米,箱,批,种,"块,片",些,,,,,,,,进口~
脖子,bo2zi5,,,否,,,,,,,,,,,,,,,
菠菜,bo1cai4,,,,"棵,株","斤,亩","筐,篮,盘,碗",,,堆,"些,点",,,,,,,,
菠萝,bo1luo2,1,,,棵,"亩,公顷",,,种,片,"些,点",,,,,,,,植物
菠萝,bo1luo2,2,,,个,"斤,公斤,千克,克","篮,筐,盘",,,"堆,块","些,点",,,,,,,,果实
伯乐,bo2le4,,,,位,,,,,,,,,,,,,,当好~/请来一位~
博士,bo2shi4,,,,"个,位,名",,,群,种,,些,,们,,,,,,
博物馆,bo2wu4guan3,,,,"个,座,家",,,,种,,些,,,,,,可,,革命~
薄脆,bao2cui4,,,,,"斤,公斤,千克,克","盒,包",,种,"块,片","些,点",,,,,,,,
薄膜,bao2mo2,,,,张,"公斤,吨,平方米",,,种,"层,摞,块",些,,,,,,,,农用~
簸箕,bo4ji5,,,,个,,,,种,"摞,堆",些,,,,,,,,
补品,bu3pin3,,,,,斤,"袋,盒,瓶",,"种,样,类",,"些,点",,,,,,,,
补贴,bu3tie1,,,,项,元,,笔,种,,"些,点",,,,,,,v,生活~
不等式,bu4deng3shi4,,,,个,,,,种,,些,,,,,,,,
布告,bu4gao4,,,,张,,,份,,,些,,,,,,,,
布局,bu4ju2,,,,,,,,种,,,,,,,,,,生产~
布料,bu4liao4,,,,,"米,尺",,,种,块,些,,儿,,,,,,
步兵,bu4bing1,,数,,"个,位,名",,,"队,群",,,些,,们,,,,,,
步调,bu4diao4,,,否,,,,,,,,,,,,,,,
步枪,bu4qiang1,,,,"把,杆,枝",,"车,箱",批,种,,些,,,,,,,,
步骤,bu4zhou4,,,,个,,,,种,,些,,,,,,,,学习~
部,bu4,,数,,个,,,,,,些,,长,,,,,q,总参三~
部队,bu4dui4,,,,支,,,,种,,些,,,,,,,,
部门,bu4men2,,,,个,,,,,,些,,,,,,,,生产~
才华,cai2hua2,,,,,,,,,,"些,点",,,,,,,,
才子,cai2zi3,,,,"个,位,名",,,群,,,些,,们,,,,,,
财产,cai2chan3,,,,,元,,"份,批,笔",种,,"些,点",,,,,,,,国家~
财富,cai2fu4,,,,,,,"份,批,笔",种,,些,,,,,,,,物质~
财物,cai2wu4,,,,,,,批,,,"些,点",,,,,,,,
财源,cai2yuan2,,,,个,,,,,,些,,,,,,,,又开辟了一个~
财政,cai2zheng4,,,否,,,,,,,,,部,,,,,,
裁缝,cai2feng5,,,,"个,位,名",,,群,,,些,,们,,,,,,
裁判,cai2pan4,,,,"位,个,名",,,群,级,,些,,"员,长,们",,,,,,这场比赛~得不公平(v)
彩虹,cai3hong2,,,,条,,,,,"道,片",,,,,,,,,
彩旗,cai3qi2,,,,面,,,,种,排,些,,,,,,,,
菜,cai4,,,,棵,"斤,亩","筐,盘,碗,盆",批,种,堆,"些,点",,,,,,,,中国~/~粥/剩~
菜地,cai4di4,,,,,"亩,公顷",,,,块,些,,,,,,,,
菜花,cai4hua1,,,,"个,株,棵","斤,吨,亩",筐,,种,堆,"些,点",,,,,,,,花椰菜的通称
菜农,cai4nong2,,,,"个,位,名",,,"群,伙,帮",,,些,,们,,,,,,
菜谱,cai4pu3,,,,"个,本",,,,种,,些,,,,,,,,
菜肴,cai4yao2,,,,,,桌,,种,,些,,,,,,,,
参数,can1shu4,,,,个,,,,种,,些,,,,,,,,
参照物,can1zhao4wu4,,,,"个,件",,,,,,些,,,,,,,,
餐具,can1ju4,,,,件,,箱,"套,副","种,类",,些,,,,,,,,
残敌,can2di2,,数,,"个,名",,,群,,,些,,,,,,,,
残迹,can2ji1,,,,处,,,,,,些,,,,,,,,
残品,can2pin3,,,,件,,车,批,,堆,些,,,,,,,,
残渣,can2zha1,,,,,吨,车,,,堆,"些,点",,,,,,,,
蚕,can2,,,,"只,条",,,,种,,些,,,,,,,,
蚕豆,can2dou4,1,,,"株,棵","亩,公顷",,,种,,"些,点",,,,,,,,植物:改良~
蚕豆,can2dou4,2,,,"粒,颗","斤,公斤,千克,克","碗,袋",,,把,"些,点",,,,,,,,种子:炒~
仓库,cang1ku4,,,,"个,座,间",,,,种,排,些,,,,,,可,,
苍天,cang1tian1,,,否,,,,,,,,,,,,,,,
苍蝇,cang1ying5,,,,"个,只",,,群,种,,些,,,,,,,,
藏族,zang4zu2,,,否,,,,,,,,,,,,,,,
操行,cao1xing2,,,否,,,,,,,,,,,,,,,
草,cao3,,,,"棵,株,根","吨,公斤,斤","筐,篮",,种,"丛,堆,片,把","些,点",,,,,,,a,~垫子/狗尾巴~
草稿,cao3gao3,,,,"篇,页,张,本",,,份,,"摞,叠,堆",,,,,,,,,
草料,cao3liao4,,,,,"吨,斤","车,筐",,,堆,"些,点",,,,,,,,
草帽,cao3mao4,,,,"个,顶",,,,种,摞,些,,,,,,,,
草坪,cao3ping2,,,,,"平方米,亩",,,,"块,片",些,,,,,,,,
草图,cao3tu2,,,,"张,个,幅",,,份,,"叠,堆",些,,,,,,,,
草屋,cao3wu1,,,,"间,座",平方米,,,种,排,些,,,,,,,,
草药,cao3yao4,,,,"副,剂","克,两,千克","包,袋",,种,,"些,点",,,,,,,,
草原,cao3yuan2,,,,个,,,,,片,,,,,,,,,
厕所,ce4suo3,,,,"个,座",,,,种,,些,,,,,,可,,~面积
策略,ce4lve4,,,,个,,,套,种,,些,,,,,,,,作战~
层次,ceng2ci4,,,,个,,,,种,,,,,,,,,,
插曲,cha1qu3,,,,"个,首,支",,,,,段,些,,,,,,,,
插图,cha1tu2,,,,"幅,页,张",,,,种,,些,,,,,,,,
插座,cha1zuo4,,,,个,,"箱,盒",,种,,些,,,,,,,,
查号台,cha2hao4tai2,,,,个,,,,,,些,,,,,,可,,
茶杯,cha2bei1,,,,个,,,套,种,摞,些,,,,,,,,
茶缸,cha2gang1,,,,个,,,套,种,,些,,子,,,,,,
茶壶,cha2hu2,,,,"把,个",,,,种,,些,,,,,,,,
茶碱,cha2jian3,,,,,"克,公斤",包,,,层,"些,点",,,,,,,,"弱碱性,苦味结晶化合物。自茶叶中提取。"
茶具,cha2ju4,,,,件,,,套,"种,样",,些,,,,,,,,
茶农,cha2nong2,,,,"个,家,户",,,"群,伙,帮",,,些,,们,,,,,,
茶色,cha2se4,,,,,,,,,层,"些,点",,,,,,,,
茶叶,cha2ye4,,,,,"两,斤,克,千克","袋,盒,包",,"种,级","撮,把","些,点",,,,,,,,
岔道,cha4dao4,,,,"条,个",,,,,"段,股",些,,,,,,,,
差别,cha1bie2,,,,,,,,种,,"些,点",,,,,,,,脑力劳动与体力劳动有~/~大小/种族~
差距,cha1ju4,,,,,,,,种,,"些,点",,,,,,,,
差事,chai1shi5,,,,"个,件,桩,项",,,,,,些,,,,,,,,
柴草,chai2cao3,,,,,"公斤,吨,斤",车,,,"捆,堆,垛",些,,,,,,,,
柴油,chai2you2,,,,,"升,公斤,吨","桶,瓶",,种,滴,些,,,,,,,,
豺狼,chai2lang2,,,,,,,"群,伙",,,些,,,,,,,,
产妇,chan3fu4,,,,"个,位,名",,,群,,,些,,们,,,,,,
产品,chan3pin3,,,,,,,批,"种,类,样",,些,,,,,,,,~名称/工业~
产业,chan3ye4,,,,,,,,种,,些,,,,,,,,新兴~
产值,chan3zhi2,,,否,,,,,,,,,,,,,,,
铲子,chan3zi5,,,,"把,个",,,,种,,些,,,,,,,,
娼妓,chang1ji4,,,,个,,,"群,帮,伙",,,些,,们,,,,,,
长城,chang2cheng2,,,,"条,座",,,,,段,,,,,,,可,,"""钢铁~""是比喻用法/万里~"
长处,chang2chu5,,,,个,,,,,,些,,,,,,,,
长度,chang2du4,,,否,,,,,,,,,,,,,,,比比~
长短,chang2duan3,,,否,,,,,,,,,,,,,,,
长方形,chang2fang1xing2,,,,个,,,,,,些,,,,,,,,
长江,chang2jiang1,,,否,,,,,,,,,,,,,,,~源头
长势,zhang3shi4,,,否,,,,,,,,,,,,,,,
长相,zhang3xiang4,,,,"副,个",,,,种,,,,儿,,,,,,"数词限于""一"""
长征,chang2zheng1,,,否,,,,,,,,,,,,,,,
肠子,chang2zi5,,,,根,斤,,,种,"段,截",些,,,,,,,,
常客,chang2ke4,,,,"位,个",,,,,,些,,,,,,,,
常识,chang2shi2,,,,,,,,种,,"些,点",,性,,,,,,生活~
常数,chang2shu4,,,,个,,,,,,些,,,,,,,,
厂,chang3,,数,,"个,家",,,,,,,,"子,长",,,,,,~领导/炼钢~/北京计算机三~
厂房,chang3fang2,,,,"座,间,个",平方米,,,,排,些,,,,,,,,
厂商,chang3shang1,,,,"个,位,名",,,群,,,些,,,,,,,,
场地,chang3di4,,,,"个,处",平方米,,,,"块,片",些,,,,,,,,演出~
场面,chang3mian4,,,,,,,,种,,些,,,,,,,,作宾语时要带定语/比赛~
倡议,chang4yi4,,,,"个,项",,,,种,,些,,,,,,,v,
唱法,chang4fa3,,,,,,,,种,,些,,,,,,,,
唱片,chang4pian4,,,,张,,盒,,种,叠,些,,,,,,,,
唱腔,chang4qiang1,,,,,,,,种,段,些,,,,,,,,
钞票,chao1piao4,,,,张,,,,种,"把,沓,堆",些,,,,,,,,
超短裙,chao1duan3qun2,,,,"件,条",,箱,,种,堆,些,,,,,,,,
超声波,chao1sheng1bo1,,,,,,,,种,,,,,,,,,,
朝代,chao2dai4,,,,个,,,,,,些,,,,,,,,
朝气,zhao1qi4,,,,,,,,种,股,点,,,,,,,,"数词限于""一"""
潮流,chao2liu2,,,,,,,,种,股,,,,,,,,,改革~/时代~
炒货,chao3huo4,,,,,"克,斤,千克","袋,包",,"类,种,样",,些,,,,,,,,
车,che1,,,,"辆,列,部",,,,种,,些,,子,,,,,vq,~一个螺丝钉(v)
车次,che1ci4,,,,个,,,,,,,,,,,,,,
车祸,che1huo4,,,否,,,,,,,,,,,,,,,两次~/两回~/两起~
车间,che1jian1,,,,个,平方米,,,种,,些,,,,,,可,,锻造~
车辆,che1liang4,,,,,,,批,"种,类",,些,,,,,,,,运输~
车皮,che1pi2,,数,,"个,节",,,,,,些,,,,,是,,,3~钢材
车速,che1su4,,,,,,,,种,,,,,,,,,,车速一般用每小时千米数计算
车站,che1zhan4,,,,"个,座",,,,,,些,,,,,,可,,新建~
尘垢,chen2gou4,,,,,,,,,层,些,,,,,,,,
尘土,chen2tu3,,,,,,,,,"层,片","些,点",,,,,,,,"""片""前数词限于""一""/一片~"
沉淀,chen2dian4,,,,,,,,,层,些,,,,,,,v,历史的~
陈醋,chen2cu4,,,,,"斤,吨,克,千克",瓶,,种,滴,"些,点",,,,,,,,
陈设,chen2she4,,,,件,,,套,种,,些,,,,,,,v,屋里的~很简单
闯劲,chuang3jin4,,,,,,,,种,股,"些,点",,,,,,,,
衬布,chen4bu4,,,,,"米,丈,尺,寸",,,,"块,层","些,点",,,,,,,,
衬衣,chen4yi1,,,,件,,箱,,种,摞,些,,,,,,,,
称号,cheng1hao4,,,,个,,,,种,,些,,,,,,,,
成本,cheng2ben3,,,否,,,,,,,,,,,,,,,生产~/产品~下降
成分,cheng2fen5,,,,,,,,种,,,,,,,,,,化学~/组成~
成果,cheng2guo3,,,,"个,项",,,"批,份",种,,些,,,,,,,,研究~
成绩,cheng2ji1,,,,,,,,,,"些,点",,,,,,,,学习~
成品,cheng2pin3,,,,"件,个",,,批,种,,些,,,,,,,,
