词语,全拼音,区的主语,后名,后的名,主宾,兼类,备注
实心,shi2xin1,,,,,,~球
适龄,shi4ling2,,,,否,,~的都可以参加/~儿童
首任,shou3ren4,否,,否,否,,~行政长官
首要,shou3yao4,,,,否,,学习才是~的事/~任务
双面,shuang1mian4,,,,否,,~刺绣
双重,shuang1chong2,否,,,否,,~任务/~压迫
私营,si1ying2,,,,,,~比国营灵活
随身,sui2shen1,否,,,否,d,~保镖/~的行李不能多带
特等,te4deng3,,,,,,~比一等还好
特定,te4ding4,否,,,否,,~环境/~的历史条件
特级,te4ji2,,,,,,~的茶叶在那边/~教师/~的最好
特种,te4zhong3,否,,否,否,,~部队/~工艺
天然,tian1ran2,,,,否,,~煤气/~的冰
同步,tong2bu4,否,,否,否,v,~卫星
同等,tong2deng3,否,,否,否,d,~学力/~重要
头等,tou2deng3,否,,否,否,,~大事
头号,tou2hao4,否,,否,否,,~新闻
外来,wai4lai2,,,,否,,~妹子/~的民工真多
外向型,wai4xiang4xing2,,,,,,~经济
微量,wei1liang4,否,,,否,,~元素
微型,wei1xing2,,,,否,,~手表/这个发报机是~的
唯物,wei2wu4,否,,否,否,,~辩证法
唯心,wei2xin1,否,,否,否,,~主义
伪劣,wei3lie4,否,,,否,,~产品/~的东西
卫戍,wei4shu4,否,,否,否,,~司令部
无轨,wu2gui3,,,否,,,我乘~/~电车/~比有轨好
无机,wu2ji1,否,,否,否,,~化学
无名,wu2ming2,否,,,否,,~英雄/~的恐惧
无期,wu2qi1,否,,否,,,~徒刑
无线,wu2xian4,,,否,,,~电话/~比有线方便
无烟,wu2yan1,,,,否,,这种煤是~的/~工业
五彩,wu3cai3,否,,,否,,~球/~的人生
五金,wu3jin1,否,,否,否,,~商店/这里卖~商品
西式,xi1shi4,,,,,,~餐馆
下等,xia4deng3,,,,,,~仆役
现任,xian4ren4,否,,否,否,,~省长
现行,xian4xing2,否,,,否,,~制度
现役,xian4yi4,否,,否,否,,~军人
消防,xiao1fang2,否,,否,否,,~材料
小型,xiao3xing2,,,,否,,~的汽车/这台拖拉机是~的
新兴,xin1xing1,否,,,否,,~工业/~的城市
新型,xin1xing2,,,,否,,~的农民/~拖拉机
信托,xin4tuo1,否,,否,否,,~商店
杏红,xing4hong2,,,,,,
杏黄,xing4huang2,,,,,,~色
雄性,xiong2xing4,,,否,,,~花蕊
袖珍,xiu4zhen1,,,否,否,,~词典
野生,ye3sheng1,,,,否,,~动物/~的动物越来越少了/这盒人参是~的
业余,ye4yu2,,,,否,,~学校/~的时间
一贯,yi1guan4,否,,,否,d,~的作风/~主张国家不分大小(d)
医务,yi1wu4,否,,否,否,,~人员
异步,yi4bu4,否,,否,否,,~电机
银,yin2,,,,否,,~锁
银白,yin2bai2,,,,,,
银灰,yin2hui1,,,,,,~的西服
隐形,yin3xing2,,,,否,,~眼镜/~的价钱贵
应届,ying1jie4,,,,否,,~毕业生
硬性,ying4xing4,否,,,否,d,~的指标/~规定太多了
优等,you1deng3,,,,否,,~成绩
优质,you1zhi4,,,,否,,~的产品
有机,you3ji1,否,,否,否,,~化肥
有色,you3se4,否,,否,否,,~金属/~人种
有生,you3sheng1,否,,否,否,,~力量
有线,you3xian4,,,否,,,~电视
原版,yuan2ban3,,,,,,~书
远程,yuan3cheng2,否,,否,否,,~导弹/~航行
远洋,yuan3yang2,否,,否,否,,~轮船/~作业
枣红,zao3hong2,,,,,,
真正,zhen1zheng4,否,否,,否,d,"""后名""粘着/群众是~的英雄"
直辖,zhi2xia2,否,,否,否,,~市
中档,zhong1dang4,,,,,,~比高档经济、实用/~的就够了
中等,zhong1deng3,,,,,,成绩~/~身材/~的成绩
中级,zhong1ji2,,,否,,,日语~班
中篇,zhong1pian1,,,否,,,~小说
中式,zhong1shi4,,,,,,~帽子
重型,zhong4xing2,,,否,否,,~机械/这一门炮是~的
专项,zhuan1xiang4,否,,否,否,,~业务
自动,zi4dong4,,,否,否,d,~洗衣机/这台洗衣机是~的
