词语,全拼音,同形,个体,集体,度量,容量,种类,成形,不定,动量,时量,表序,重叠,兼类,备注
块,kuai4,3,个,,,,,,,,,,QQ,,两~手表
筐,kuang1,,,,,容,,,,,,,QQ,n,
捆,kun3,,,,,,,形,,,,,QQ,v,两~草
类,lei4,,,,,,种,,,,,序,QQ,,分为3~/5~地区/一~~的讨论
厘米,li2mi3,,,,度,,,,,,,,,,
里,li3,,,,度,,,,,,,,QQ,f,一~~地算
立方,li4fang1,,,,度,,,,,,,,,,
立方米,li4fang1mi3,,,,度,,,,,,,,,,
粒,li4,,个,,,,,,,,,,QQ,,3~宝石
两,liang3,,,,度,,,,,,,,QQ,m,一~~地称
辆,liang4,,个,,,,,,,,,,QQ,,
列,lie4,,个,,,,,,,,,,QQ,v,一~~火车
轮,lun2,1,,,,,,,,动,,,,v,值日已经~了两~
轮,lun2,2,个,,,,,,,,,,,v,一~红日
马力,ma3li4,,,,度,,,,,,,,,,
码,ma3,1,,,度,,,,,,,,,v,1~等于3英尺
码,ma3,2,个,,,,,,,,,,,v,这是两~事
枚,mei2,,个,,,,,,,,,,QQ,,他获得了两~劳动奖章
门,men2,1,个,,,,,,,,,,QQ,n,一~大炮
门,men2,2,,,,,种,,,,,,,,3~功课
米,mi3,,,,度,,,,,,,,QQ,n,
面,mian4,,个,,,,,,,,,,QQ,n,一~红旗
秒,miao3,,,,,,,,,,时,,QQ,,
秒钟,miao3zhong1,,,,,,,,,,时,,,,
名,ming2,,个,,,,,,,,,,,,一~作家
亩,mu3,,,,度,,,,,,,,,,十~地
幕,mu4,,个,,,,,,,,,,QQ,,两~话剧
年,nian2,,,,,,,,,,时,序,QQ,,~~都丰收
牛顿,niu2dun4,,,,度,,,,,,,,,n,
欧姆,ou1mu3,,,,度,,,,,,,,,n,
排,pai2,,,,,,,形,,,,,QQ,v,一~房子
盘,pan2,1,,,,,,,,动,,,QQ,,下了3~棋
盘,pan2,2,,,,容,,,,,,,QQ,,买了两~菜
盆,pen2,,,,,容,,,,,,,QQ,,
批,pi1,,,集,,,,,,,,,QQ,v,
匹,pi3,1,个,,,,,,,,,,QQ,,一~马
匹,pi3,2,,,,,,形,,,,,QQ,,一~布
片,pian4,1,个,,,,,,,,,,QQ,,3~药
片,pian4,2,,,,,,形,,,,,QQ,,一~~白云/一~汪洋
篇,pian1,,个,,,,,,,,,,QQ,,
平方,ping2fang1,,,,度,,,,,,,,,,
平方公里,ping2fang1gong1li3,,,,度,,,,,,,,,,
平方米,ping2fang1mi3,,,,度,,,,,,,,,,
平米,ping2mi3,,,,度,,,,,,,,,,
瓶,ping2,,,,,容,,,,,,,QQ,,
起,qi3,,个,,,,,,,,,,QQ,v,发生了两~案件
千赫,qian1he4,,,,度,,,,,,,,,,
千瓦,qian1wa3,,,,度,,,,,,,,,,
顷,qing3,,,,度,,,,,,,,,,
圈,quan1,1,,,,,,,,动,,,,v,走了一~
圈,quan1,2,,,,,,形,,,,,,v,站了两~人
拳,quan2,,,,,,,,,动,,,QQ,,"打了3~,~~击中要害"
群,qun2,,,集,,,,,,,,,QQ,,
人次,ren2ci4,,,,,,,,,动,,,,,
日,ri4,,,,,,,,,,时,序,QQ,,3~游/今天是10月1~/~~思念远方亲人
身,shen1,,个,,,,,,,,,,,,一~衣服
升,sheng1,,,,度,,,,,,,,,,
声,sheng1,,,,,,,,,动,,,QQ,,
首,shou3,,个,,,,,,,,,,QQ,,
双,shuang1,,,集,,,,,,,,,QQ,m,~~手套都绣上花/3~鞋/学习、劳动~丰收(m)
丝米,si1mi3,,,,度,,,,,,,,,,
艘,sou1,,个,,,,,,,,,,QQ,,
岁,sui4,,,,,,,,,,时,,,,70~老人
所,suo3,,个,,,,,,,,,,QQ,un,两~学校
台,tai2,,个,,,,,,,,,,QQ,,一~机器
摊,tan1,,,,,,,形,,,,,QQ,v,一~泥/一~事情
坛,tan2,,,,,容,,,,,,,QQ,,
趟,tang4,,,,,,,,,动,,,QQ,,
套,tao4,,,集,,,,,,,,,QQ,v,两~书
天,tian1,,,,,,,,,,时,,QQ,n,
条,tiao2,,个,,,,,,,,,,QQ,,一~黄瓜/3~意见/两~新闻
挺,ting3,,个,,,,,,,,,,QQ,dv,
通,tong1,A,个,,,,,,,,,,,v,一~文书/一~电报
通,tong4,B,,,,,,,,动,,,,,玩了一~/挨了一~儿说
头,tou2,,个,,,,,,,,,,QQ,n,
团,tuan2,,,,,,,形,,,,,QQ,nv,一~麻
瓦,wa3,,,,度,,,,,,,,,n,
碗,wan3,,,,,容,,,,,,,QQ,n,
微米,wei1mi3,,,,度,,,,,,,,,,
微秒,wei1miao3,,,,,,,,,,时,,,,
位,wei4,,个,,,,,,,,,,,,我家来了两~客人
窝,wo1,,,集,,,,,,,,,QQ,nv,孵了两~小鸡
下,xia4,1,,,,,,,,动,,,,vf,打了3~
下,xia4,2,,,,,,,,,时,,,vf,等一~
线,xian4,,,,,,,形,,,,,,n,一~生机
箱,xiang1,,,,,容,,,,,,,QQ,,3~衣服
项,xiang4,,个,,,,,,,,,,QQ,,~~达标/今年要完成3~任务
些,xie1,,,,,,,,不,,,,,,
行,hang2,,,,,,,形,,,,,QQ,,两~树
样,yang4,,,,,,种,,,,,,QQ,,
页,ye4,,个,,,,,,,,,,QQ,,
夜,ye4,,,,,,,,,,时,,QQ,n,
英寸,ying1cun4,,,,度,,,,,,,,,,
元,yuan2,,,,度,,,,,,,,,,
圆,yuan2,,,,度,,,,,,,,,an,
匝,za1,,,,度,,,,,,,,QQ,,
盏,zhan3,,个,,,,,,,,,,QQ,,一~煤油灯
张,zhang1,,个,,,,,,,,,,QQ,v,
丈,zhang4,,,,度,,,,,,,,QQ,,
阵,zhen4,1,,,,,,,,,时,,,,等了一~
阵,zhen4,2,,,,,,,,动,,,QQ,,下了两~雨/会场响起了~~掌声
支,zhi1,1,个,,,,,,,,,,QQ,v,两~歌/一~队伍
支,zhi1,2,,,度,,,,,,,,,v,25~光/100~纱
枝,zhi1,,个,,,,,,,,,,QQ,,3~冲锋枪
只,zhi1,,个,,,,,,,,,,QQ,,两~手/一~猫/一~皮箱
种,zhong3,,,,,,种,,,,,,QQ,,~~情况
周,zhou1,1,,,,,,,,,时,,QQ,,过去了两~/花了3~时间
周,zhou1,2,,,,,,,,动,,,,,绕操场跑3~
组,zu3,,,集,,,,,,,,,QQ,vn,发表了两~文章
尊,zun1,,个,,,,,,,,,,QQ,,"买了3~观音,~~造型都很好"
座,zuo4,,个,,,,,,,,,,QQ,,
